adr_idx,adr_id,adr_name
0,C0002170,Alopecia
1,C0232462,Decreased appetite
2,C0009450,Infection
3,C0009806,Constipation
4,C0011603,Dermatitis
5,C0011991,Diarrhoea
6,C0015230,Rash
7,C0015376,Extravasation
8,C0015672,Fatigue
9,C0004093,Asthenia
10,C0020517,Hypersensitivity
11,C0023380,Lethargy
12,C0023530,Leukopenia
13,C0027497,Nausea
14,C0033774,Pruritus
15,C0036572,Convulsion
16,C0038362,Stomatitis
17,C0040034,Thrombocytopenia
18,C0041834,Erythema
19,C0042109,Urticaria
20,C0042963,Vomiting
21,C0043144,Wheezing
22,C0231218,Malaise
23,C0234215,Discomfort
24,C1443060,Feeling abnormal
25,C2047937,Ill-defined disorder
26,C0002792,Anaphylactic shock
27,C0340865,Anaphylactoid reaction
28,C0235431,Blood creatinine increased
29,C0746883,Febrile neutropenia
30,C1325847,Sensitisation
31,C0022660,Renal failure acute
32,C0015967,Body temperature increased
33,C0012833,Dizziness
34,C0041657,Loss of consciousness
35,C0036974,Shock
36,C0039070,Syncope
37,C0687713,Gastrointestinal pain
38,C0000737,Abdominal pain
39,C0009676,Confusional state
40,C0013378,Dysgeusia
41,C0013395,Dyspepsia
42,C0013404,Dyspnoea
43,C0017178,Gastrointestinal disorder
44,C0037274,Skin disorder
45,C1565489,Renal impairment
46,C0232492,Abdominal pain upper
47,C0232495,Abdominal pain lower
48,C0232498,Abdominal tenderness
49,C0242656,Disease progression
50,C0267537,Caecitis
51,C0085593,Chills
52,C0031117,Neuropathy peripheral
53,C0002631,Amniotic cavity infection
54,C0004604,Back pain
55,C0012739,Disseminated intravascular coagulation
56,C1868769,Anaphylactoid syndrome of pregnancy
57,C0015930,Foetal distress syndrome
58,C0015944,Premature rupture of membranes
59,C0018811,Foetal heart rate
60,C0020649,Hypotension
61,C0021053,Immune system disorder
62,C0032961,Pregnancy
63,C0042143,Uterine rupture
64,C0042373,Angiopathy
65,C0243026,Sepsis
66,C0269842,Uterine hypertonus
67,C0410916,Death neonatal
68,C0410959,Foetal acidosis
69,C0428977,Bradycardia
70,C0010037,Corneal oedema
71,C0010038,Corneal opacity
72,C0016382,Flushing
73,C0020458,Hyperhidrosis
74,C0948284,Corneal decompensation
75,C0002994,Angioedema
76,C0003578,Apnoea
77,C0003811,Arrhythmia
78,C0004238,Atrial fibrillation
79,C0004245,Atrioventricular block
80,C0006266,Bronchospasm
81,C0008031,Chest pain
82,C0010200,Cough
83,C2830004,Somnolence
84,C0018681,Headache
85,C0018790,Cardiac arrest
86,C0018799,Cardiac disorder
87,C0018801,Cardiac failure
88,C0020538,Hypertension
89,C0020578,Hyperventilation
90,C0025061,Mediastinal disorder
91,C0027051,Myocardial infarction
92,C0948089,Acute coronary syndrome
93,C0027424,Nasal congestion
94,C0027769,Nervousness
95,C0233494,Tension
96,C0278134,Sensory loss
97,C0020580,Hypoaesthesia
98,C0030193,Pain
99,C0030252,Palpitations
100,C0030554,Paraesthesia
101,C0033036,Supraventricular extrasystoles
102,C0036454,Scotoma
103,C0037188,Sinoatrial block
104,C2747891,Device capturing issue
105,C0038454,Cerebrovascular accident
106,C0039231,Tachycardia
107,C0039239,Sinus tachycardia
108,C0040264,Tinnitus
109,C0040479,Torsade de pointes
110,C0040822,Tremor
111,C0042510,Ventricular fibrillation
112,C0042514,Ventricular tachycardia
113,C0043352,Dry mouth
114,C0042023,Pollakiuria
115,C0085606,Micturition urgency
116,C0085612,Ventricular arrhythmia
117,C0085614,Atrioventricular block first degree
118,C0085624,Burning sensation
119,C0085633,Mood swings
120,C0233472,Affect lability
121,C0151517,Atrioventricular block complete
122,C0151636,Ventricular extrasystoles
123,C0151699,Haemorrhage intracranial
124,C0151735,Injection site reaction
125,C0151740,Intracranial pressure increased
126,C0151744,Myocardial ischaemia
127,C0162297,Respiratory arrest
128,C0340464,Extrasystoles
129,C0232487,Abdominal discomfort
130,C0003467,Anxiety
131,C0085631,Agitation
132,C0948594,Musculoskeletal discomfort
133,C0235710,Chest discomfort
134,C0236071,Throat tightness
135,C0264906,Atrioventricular block second degree
136,C0344232,Vision blurred
137,C0014549,Grand mal convulsion
138,C0497247,Blood pressure increased
139,C0520886,Electrocardiogram ST segment elevation
140,C0520887,Electrocardiogram ST segment depression
141,C0541782,Sinus arrest
142,C0854303,Limb discomfort
143,C0948296,Ear discomfort
144,C1145670,Respiratory failure
145,C1956346,Coronary artery disease
146,C0000731,Abdominal distension
147,C0001824,Agranulocytosis
148,C0002874,Aplastic anaemia
149,C0010520,Cyanosis
150,C0011206,Delirium
151,C0014356,Enterocolitis
152,C0015397,Eye disorder
153,C0017675,Glossitis
154,C0018939,Blood disorder
155,C0023418,Leukaemia
156,C0024790,Paroxysmal nocturnal haemoglobinuria
157,C0027765,Nervous system disorder
158,C0027813,Neuritis
159,C0030312,Pancytopenia
160,C0041466,Typhoid fever
161,C0014236,Endophthalmitis
162,C0155169,Ocular hyperaemia
163,C0178416,Hypoplastic anaemia
164,C0221203,Rash vesicular
165,C0235266,Eye irritation
166,C0259756,Jarisch-Herxheimer reaction
167,C0270276,Grey syndrome neonatal
168,C0270996,Eye swelling
169,C0423791,Rash maculo-papular
170,C0035204,Respiratory disorder
171,C0687133,Drug interaction
172,C0853040,Reaction to drug excipients
173,C1761613,Conjunctival hyperaemia
174,C0001807,Aggression
175,C0002418,Amblyopia
176,C0002453,Amenorrhoea
177,C0002622,Amnesia
178,C0002871,Anaemia
179,C0002957,Anger
180,C0003537,Aphasia
181,C0003862,Arthralgia
182,C0003864,Arthritis
183,C0004096,Asthma
184,C0004134,Ataxia
185,C0004601,Back injury
186,C0004936,Mental disorder
187,C0005586,Bipolar disorder
188,C0853193,Bipolar I disorder
189,C0006107,Concussion
190,C0006142,Breast cancer
191,C0006145,Breast disorder
192,C0006277,Bronchitis
193,C0006325,Bruxism
194,C0006444,Bursitis
195,C0007117,Basal cell carcinoma
196,C0007222,Cardiovascular disorder
197,C0007286,Carpal tunnel syndrome
198,C0007859,Neck pain
199,C0008033,Pleuritic pain
200,C0476280,Musculoskeletal chest pain
201,C0009319,Colitis
202,C0009421,Coma
203,C0009763,Conjunctivitis
204,C0009782,Connective tissue disorder
205,C0009938,Contusion
206,C0403632,Cystitis noninfective
207,C0010692,Cystitis
208,C0232849,Bladder pain
209,C0010709,Cyst
210,C0011053,Deafness
211,C0855242,Disturbance in sexual arousal
212,C0011124,Libido decreased
213,C0011168,Dysphagia
214,C0011175,Dehydration
215,C0011253,Delusion
216,C0011334,Dental caries
217,C0011551,Depersonalisation
218,C0011606,Dermatitis exfoliative
219,C0011615,Dermatitis atopic
220,C0012569,Diplopia
221,C0013146,Drug abuse
222,C0013182,Drug hypersensitivity
223,C0029408,Osteoarthritis
224,C0013362,Dysarthria
225,C0013384,Dyskinesia
226,C0013390,Dysmenorrhoea
227,C0013428,Dysuria
228,C0013456,Ear pain
229,C0013491,Ecchymosis
230,C0013595,Eczema
231,C0013604,Oedema
232,C0014394,Enuresis
233,C0014488,Epicondylitis
234,C0014591,Epistaxis
235,C0014724,Eructation
236,C0014742,Erythema multiforme
237,C0014868,Oesophagitis
238,C0015256,Excoriation
239,C0015371,Extrapyramidal disorder
240,C0016199,Flank pain
241,C0016204,Flatulence
242,C0016242,Vitreous floaters
243,C0016385,Cardiac flutter
244,C0016397,Localised infection
245,C0016436,Folliculitis
246,C0016470,Food allergy
247,C0016479,Food poisoning
248,C0015786,Female sexual arousal disorder
249,C0017152,Gastritis
250,C0017160,Gastroenteritis
251,C0017168,Gastrooesophageal reflux disease
252,C0017181,Gastrointestinal haemorrhage
253,C0017565,Gingival bleeding
254,C0017574,Gingivitis
255,C0017605,Angle closure glaucoma
256,C0017979,Glycosuria
257,C0018418,Gynaecomastia
258,C0018520,Breath odour
259,C0018524,Hallucination
260,C0018621,Seasonal allergy
261,C1322281,Rhinitis seasonal
262,C0019080,Haemorrhage
263,C0518015,Haemoglobin
264,C0019158,Hepatitis
265,C0019196,Hepatitis C
266,C0019294,Inguinal hernia
267,C0019360,Herpes zoster
268,C0019372,Herpes virus infection
269,C0019572,Hirsutism
270,C0019917,Hordeolum
271,C0020039,Hostility
272,C0020175,Hunger
273,C0020443,Hypercholesterolaemia
274,C0020456,Hyperglycaemia
275,C0020522,Type IV hypersensitivity reaction
276,C2225524,Breast enlargement
277,C0020615,Hypoglycaemia
278,C0020651,Orthostatic hypotension
279,C0020678,Hypotrichosis
280,C0021141,Inappropriate antidiuretic hormone secretion
281,C0021177,Libido increased
282,C0021400,Influenza
283,C0021845,Intestinal perforation
284,C0022107,Irritability
285,C0022346,Jaundice
286,C0314719,Dry eye
287,C0023067,Laryngitis
288,C0037763,Muscle spasms
289,C0023518,Leukocytosis
290,C0025320,Menopause
291,C0025345,Menstrual disorder
292,C0025874,Metrorrhagia
293,C0026603,Motion sickness
294,C0026826,Hypertonia
295,C0026827,Hypotonia
296,C1142135,Muscle relaxant therapy
297,C0026837,Muscle rigidity
298,C0026857,Musculoskeletal disorder
299,C0026858,Musculoskeletal pain
300,C0026946,Fungal infection
301,C0026961,Mydriasis
302,C0027066,Myoclonus
303,C0027441,Nasopharyngitis
304,C0027651,Neoplasm
305,C0027796,Neuralgia
306,C0028081,Night sweats
307,C0028084,Nightmare
308,C0028734,Nocturia
309,C0029261,Orgasm abnormal
310,C0029456,Osteoporosis
311,C0029927,Ovarian cyst
312,C0029928,Ovarian disorder
313,C0030196,Pain in extremity
314,C0030232,Pallor
315,C0030305,Pancreatitis
316,C0030318,Panic reaction
317,C0030469,Sinus disorder
318,C0030790,Pelvic infection
319,C0031350,Pharyngitis
320,C0031542,Phlebitis
321,C0032285,Pneumonia
322,C0032584,Polyp
323,C0032617,Polyuria
324,C1167965,Urine output increased
325,C0033046,Premenstrual syndrome
326,C0033575,Prostatic disorder
327,C0033771,Prurigo
328,C0033893,Tension headache
329,C0033975,Psychotic disorder
330,C0034065,Pulmonary embolism
331,C0034880,Hyperacusis
332,C0035243,Respiratory tract infection
333,C0035410,Rhabdomyolysis
334,C0035455,Rhinitis
335,C0036130,Salpingitis
336,C0036396,Sciatica
337,C0036502,Sebaceous gland disorder
338,C0036689,Pharyngitis streptococcal
339,C0036830,Serum sickness
340,C0037036,Salivary hypersecretion
341,C0037195,Sinus headache
342,C0037199,Sinusitis
343,C0851578,Sleep disorder
344,C0037383,Sneezing
345,C0037384,Snoring
346,C0037578,Soft tissue injury
347,C0037672,Somnambulism
348,C0038325,Stevens-Johnson syndrome
349,C0038358,Gastric ulcer
350,C0852733,Completed suicide
351,C0038663,Suicide attempt
352,C0038814,Sunburn
353,C0162830,Photosensitivity reaction
354,C0039240,Supraventricular tachycardia
355,C0039503,Tendonitis
356,C0039591,Testicular pain
357,C0039971,Thirst
358,C0040259,Tinea pedis
359,C0040425,Tonsillitis
360,C0040435,Tooth disorder
361,C0040460,Toothache
362,C0040953,Trichotillomania
363,C0041912,Upper respiratory tract infection
364,C0042024,Urinary incontinence
365,C0042029,Urinary tract infection
366,C0042035,Micturition disorder
367,C0041969,Urethral disorder
368,C0042075,Urinary tract disorder
369,C0404521,Vaginal infection
370,C0042267,Vaginal inflammation
371,C1142412,Vasodilation procedure
372,C0042571,Vertigo
373,C0043094,Weight increased
374,C0043096,Weight decreased
375,C0043241,Wound infection
376,C0043246,Laceration
377,C0043387,Yawning
378,C0080194,Muscle strain
379,C0080274,Urinary retention
380,C0085166,Vaginitis bacterial
381,C0234930,Skin odour abnormal
382,C0085623,Akinesia
383,C0085632,Apathy
384,C0233471,Flat affect
385,C0085636,Photophobia
386,C0085649,Oedema peripheral
387,C0086132,Depressive symptom
388,C0086439,Hypokinesia
389,C0086565,Hepatic function abnormal
390,C0086769,Panic attack
391,C0152128,Drug withdrawal syndrome
392,C0149745,Mouth ulceration
393,C0149931,Migraine
394,C0151505,Application site reaction
395,C0151602,Swelling face
396,C0151610,Tongue oedema
397,C0040409,Tongue disorder
398,C0151611,Electroencephalogram abnormal
399,C0151692,Impaired healing
400,C1168034,Gastric pH decreased
401,C0151713,Hyperchlorhydria
402,C3263723,Injury
403,C0151763,Hepatocellular injury
404,C0160390,Liver injury
405,C0338831,Mania
406,C0151786,Muscular weakness
407,C0151827,Eye pain
408,C0151830,Urethral pain
409,C1456784,Paranoia
410,C0151908,Dry skin
411,C0151936,Tendon disorder
412,C0151966,Duodenal ulcer haemorrhage
413,C0152027,Sensory disturbance
414,C0152029,Sinus congestion
415,C0152030,Skin irritation
416,C0152031,Joint swelling
417,C0152227,Lacrimation increased
418,C0152517,Viral diarrhoea
419,C0156404,Menstruation irregular
420,C0159321,Facial bones fracture
421,C0162298,Joint stiffness
422,C0162429,Malnutrition
423,C0221776,Oral pain
424,C0231528,Myalgia
425,C0231530,Muscle twitching
426,C0231919,Nasal dryness
