adr_id,adr_name,GeneSymbol
C0000737,Abdominal pain,IFNA2
C0000786,Abortion spontaneous,ACE2
C0000786,Abortion spontaneous,ACKR4
C0000786,Abortion spontaneous,AGTR1
C0000786,Abortion spontaneous,AHR
C0000786,Abortion spontaneous,ALPG
C0000786,Abortion spontaneous,APOE
C0000786,Abortion spontaneous,ARNT
C0000786,Abortion spontaneous,CD163
C0000786,Abortion spontaneous,CD164
C0000786,Abortion spontaneous,CD226
C0000786,Abortion spontaneous,CD68
C0000786,Abortion spontaneous,CD69
C0000786,Abortion spontaneous,CD7
C0000786,Abortion spontaneous,CD82
C0000786,Abortion spontaneous,CD84
C0000786,Abortion spontaneous,CD8A
C0000786,Abortion spontaneous,CEACAM1
C0000786,Abortion spontaneous,CEACAM5
C0000786,Abortion spontaneous,CEACAM6
C0000786,Abortion spontaneous,CHIA
C0000786,Abortion spontaneous,COL13A1
C0000786,Abortion spontaneous,COL1A1
C0000786,Abortion spontaneous,COL1A2
C0000786,Abortion spontaneous,COL4A6
C0000786,Abortion spontaneous,COL5A1
C0000786,Abortion spontaneous,COL5A2
C0000786,Abortion spontaneous,COL6A1
C0000786,Abortion spontaneous,COL6A3
C0000786,Abortion spontaneous,COL9A2
C0000786,Abortion spontaneous,CRISP3
C0000786,Abortion spontaneous,CSF3
C0000786,Abortion spontaneous,CSRNP3
C0000786,Abortion spontaneous,CXCL10
C0000786,Abortion spontaneous,CYP1A1
C0000786,Abortion spontaneous,CYP24A1
C0000786,Abortion spontaneous,DHFR
C0000786,Abortion spontaneous,DIAPH2-AS1
C0000786,Abortion spontaneous,ECM1
C0000786,Abortion spontaneous,ECM2
C0000786,Abortion spontaneous,EMP1
C0000786,Abortion spontaneous,FETUB
C0000786,Abortion spontaneous,FGF7
C0000786,Abortion spontaneous,FLRT3
C0000786,Abortion spontaneous,FN1
C0000786,Abortion spontaneous,FST
C0000786,Abortion spontaneous,GLS
C0000786,Abortion spontaneous,HABP2
C0000786,Abortion spontaneous,HSD17B1
C0000786,Abortion spontaneous,IFI35
C0000786,Abortion spontaneous,IFI44
C0000786,Abortion spontaneous,IFI6
C0000786,Abortion spontaneous,IFNA10
C0000786,Abortion spontaneous,IGF1
C0000786,Abortion spontaneous,IGF2
C0000786,Abortion spontaneous,IGF2BP1
C0000786,Abortion spontaneous,IGFBP1
C0000786,Abortion spontaneous,IGFBP3
C0000786,Abortion spontaneous,IGFBP6
C0000786,Abortion spontaneous,IL11
C0000786,Abortion spontaneous,IL12B
C0000786,Abortion spontaneous,IL16
C0000786,Abortion spontaneous,IL1B
C0000786,Abortion spontaneous,IL20RA
C0000786,Abortion spontaneous,IL24
C0000786,Abortion spontaneous,IL5RA
C0000786,Abortion spontaneous,IL6
C0000786,Abortion spontaneous,IL9
C0000786,Abortion spontaneous,INHA
C0000786,Abortion spontaneous,ITGB4
C0000786,Abortion spontaneous,ITGB6
C0000786,Abortion spontaneous,JAK2
C0000786,Abortion spontaneous,KLK10
C0000786,Abortion spontaneous,LAMA4
C0000786,Abortion spontaneous,LGALS14
C0000786,Abortion spontaneous,LGALS3
C0000786,Abortion spontaneous,LIF
C0000786,Abortion spontaneous,MAP2
C0000786,Abortion spontaneous,MAPRE3
C0000786,Abortion spontaneous,MGAT2
C0000786,Abortion spontaneous,MGP
C0000786,Abortion spontaneous,MMP11
C0000786,Abortion spontaneous,MMP12
C0000786,Abortion spontaneous,MMP15
C0000786,Abortion spontaneous,MMP19
C0000786,Abortion spontaneous,MMP26
C0000786,Abortion spontaneous,MMP7
C0000786,Abortion spontaneous,MUC4
C0000786,Abortion spontaneous,NCAM1
C0000786,Abortion spontaneous,PAEP
C0000786,Abortion spontaneous,PCDHA3
C0000786,Abortion spontaneous,PGF
C0000786,Abortion spontaneous,PRLR
C0000786,Abortion spontaneous,PTGIS
C0000786,Abortion spontaneous,PTHLH
C0000786,Abortion spontaneous,RBP4
C0000786,Abortion spontaneous,SDF2L1
C0000786,Abortion spontaneous,SERPINB3
C0000786,Abortion spontaneous,SERPINB4
C0000786,Abortion spontaneous,SPAG5
C0000786,Abortion spontaneous,SST
C0000786,Abortion spontaneous,TFRC
C0000786,Abortion spontaneous,TGFB1
C0000786,Abortion spontaneous,TGFBI
C0000786,Abortion spontaneous,TGFBR1
C0000786,Abortion spontaneous,TIMP2
C0000786,Abortion spontaneous,TIMP3
C0000786,Abortion spontaneous,TNFSF10
C0000786,Abortion spontaneous,TNFSF13
C0000786,Abortion spontaneous,TNR
C0000786,Abortion spontaneous,TRAF1
C0000889,Acanthosis nigricans,AHR
C0001122,Acidosis,NFE2L2
C0001122,Acidosis,SLC9A4
C0001175,Acquired immunodeficiency syndrome,IFNA1
C0001175,Acquired immunodeficiency syndrome,IFNG
C0001175,Acquired immunodeficiency syndrome,IL2
C0001206,Acromegaly,GH1
C0001206,Acromegaly,GNAS
C0001206,Acromegaly,IGF1
C0001349,Acute phase reaction,ANG
C0001418,Adenocarcinoma,ABL1
C0001418,Adenocarcinoma,ACE
C0001418,Adenocarcinoma,AKT1
C0001418,Adenocarcinoma,AKT2
C0001418,Adenocarcinoma,ALOX12B
C0001418,Adenocarcinoma,ALOX5
C0001418,Adenocarcinoma,APC
C0001418,Adenocarcinoma,APOA1
C0001418,Adenocarcinoma,APOE
C0001418,Adenocarcinoma,ARID1A
C0001418,Adenocarcinoma,AZGP1
C0001418,Adenocarcinoma,BCL2
C0001418,Adenocarcinoma,BIRC5
C0001418,Adenocarcinoma,CA1
C0001418,Adenocarcinoma,CA2
C0001418,Adenocarcinoma,CASP8
C0001418,Adenocarcinoma,CCN2
C0001418,Adenocarcinoma,CCND1
C0001418,Adenocarcinoma,CDKN1C
C0001418,Adenocarcinoma,CDKN2A
C0001418,Adenocarcinoma,CEACAM1
C0001418,Adenocarcinoma,CEBPB
C0001418,Adenocarcinoma,CKB
C0001418,Adenocarcinoma,CTNNB1
C0001418,Adenocarcinoma,CXCL8
C0001418,Adenocarcinoma,CYP19A1
C0001418,Adenocarcinoma,CYP26A1
C0001418,Adenocarcinoma,CYP2A6
C0001418,Adenocarcinoma,CYP2E1
C0001418,Adenocarcinoma,CYP7B1
C0001418,Adenocarcinoma,DAPK1
C0001418,Adenocarcinoma,DDR1
C0001418,Adenocarcinoma,DNMT1
C0001418,Adenocarcinoma,EEF2
C0001418,Adenocarcinoma,EFEMP1
C0001418,Adenocarcinoma,EGF
C0001418,Adenocarcinoma,EGFR
C0001418,Adenocarcinoma,ENO1
C0001418,Adenocarcinoma,ERBB2
C0001418,Adenocarcinoma,ESR1
C0001418,Adenocarcinoma,ESR2
C0001418,Adenocarcinoma,FAT4
C0001418,Adenocarcinoma,FGF9
C0001418,Adenocarcinoma,GAGE1
C0001418,Adenocarcinoma,GAST
C0001418,Adenocarcinoma,GHRL
C0001418,Adenocarcinoma,GKN1
C0001418,Adenocarcinoma,GMPR2
C0001418,Adenocarcinoma,GPX3
C0001418,Adenocarcinoma,GRB7
C0001418,Adenocarcinoma,HDAC3
C0001418,Adenocarcinoma,HOXA10
C0001418,Adenocarcinoma,HRH4
C0001418,Adenocarcinoma,HSPA8
C0001418,Adenocarcinoma,HSPD1
C0001418,Adenocarcinoma,ID3
C0001418,Adenocarcinoma,IFNA1
C0001418,Adenocarcinoma,IL1B
C0001418,Adenocarcinoma,KCNQ1
C0001418,Adenocarcinoma,KDR
C0001418,Adenocarcinoma,KMT2A
C0001418,Adenocarcinoma,KMT2C
C0001418,Adenocarcinoma,KRAS
C0001418,Adenocarcinoma,KRT20
C0001418,Adenocarcinoma,KRT8
C0001418,Adenocarcinoma,MET
C0001418,Adenocarcinoma,MKI67
C0001418,Adenocarcinoma,MMP14
C0001418,Adenocarcinoma,MPP1
C0001418,Adenocarcinoma,MSLN
C0001418,Adenocarcinoma,MTOR
C0001418,Adenocarcinoma,MUC2
C0001418,Adenocarcinoma,MYC
C0001418,Adenocarcinoma,NCOA3
C0001418,Adenocarcinoma,NFKB1
C0001418,Adenocarcinoma,NOS3
C0001418,Adenocarcinoma,NPPA
C0001418,Adenocarcinoma,NR1I2
C0001418,Adenocarcinoma,OGG1
C0001418,Adenocarcinoma,PAWR
C0001418,Adenocarcinoma,PCNA
C0001418,Adenocarcinoma,PGAM1
C0001418,Adenocarcinoma,PGR
C0001418,Adenocarcinoma,PHB1
C0001418,Adenocarcinoma,PIK3CA
C0001418,Adenocarcinoma,PLAU
C0001418,Adenocarcinoma,PLCE1
C0001418,Adenocarcinoma,PPARG
C0001418,Adenocarcinoma,PRKD1
C0001418,Adenocarcinoma,PRL
C0001418,Adenocarcinoma,PTEN
C0001418,Adenocarcinoma,PTGER1
C0001418,Adenocarcinoma,PTGS2
C0001418,Adenocarcinoma,PTPN11
C0001418,Adenocarcinoma,PYCARD
C0001418,Adenocarcinoma,RAMP2
C0001418,Adenocarcinoma,RARB
C0001418,Adenocarcinoma,RASSF1
C0001418,Adenocarcinoma,RELA
C0001418,Adenocarcinoma,ROBO1
C0001418,Adenocarcinoma,RUNX3
C0001418,Adenocarcinoma,SELENBP1
C0001418,Adenocarcinoma,SERPINA1
C0001418,Adenocarcinoma,SMARCC1
C0001418,Adenocarcinoma,SOD2
C0001418,Adenocarcinoma,SPP1
C0001418,Adenocarcinoma,STAT3
C0001418,Adenocarcinoma,STAT5A
C0001418,Adenocarcinoma,STK11
C0001418,Adenocarcinoma,SYCP1
C0001418,Adenocarcinoma,TCF7L2
C0001418,Adenocarcinoma,TGFB1
C0001418,Adenocarcinoma,TNF
C0001418,Adenocarcinoma,TNFRSF10A
C0001418,Adenocarcinoma,TP53
C0001418,Adenocarcinoma,TP63
C0001418,Adenocarcinoma,TPM3
C0001418,Adenocarcinoma,TRP53
C0001418,Adenocarcinoma,TYRP1
C0001418,Adenocarcinoma,UGT2B17
C0001418,Adenocarcinoma,VEGFA
C0001418,Adenocarcinoma,VTI1A
C0001623,Adrenal insufficiency,CYP11A1
C0001623,Adrenal insufficiency,NR5A1
C0001623,Adrenal insufficiency,RX3
C0001824,Agranulocytosis,CSF2
C0001824,Agranulocytosis,CSF3
C0001824,Agranulocytosis,NQO2
C0001925,Albuminuria,ACE
C0001925,Albuminuria,AGT
C0001925,Albuminuria,CASP1
C0001925,Albuminuria,CD38
C0001925,Albuminuria,CP
C0001925,Albuminuria,GNAQ
C0001925,Albuminuria,GPC5
C0001925,Albuminuria,IL6
C0001925,Albuminuria,INS
C0001925,Albuminuria,INS2
C0001925,Albuminuria,LEPR
C0001925,Albuminuria,MIR130A
C0001925,Albuminuria,MIR145
C0001925,Albuminuria,MIR155
C0001925,Albuminuria,MIR424
C0001925,Albuminuria,NCK1
C0001925,Albuminuria,NCK2
C0001925,Albuminuria,NPHS1
C0001925,Albuminuria,NPHS2
C0001925,Albuminuria,PTGS2
C0001925,Albuminuria,PYCARD
C0001925,Albuminuria,REN
C0001925,Albuminuria,REN2
C0001925,Albuminuria,SOD2
C0001925,Albuminuria,TNF
C0001925,Albuminuria,TRPC6
C0001925,Albuminuria,TSLP
C0001973,Alcoholism,ADH1B
C0001973,Alcoholism,ADH1C
C0001973,Alcoholism,ALDH2
C0001973,Alcoholism,CCKAR
C0001973,Alcoholism,CDK20
C0001973,Alcoholism,CHRNA3
C0001973,Alcoholism,CHRNA5
C0001973,Alcoholism,COMT
C0001973,Alcoholism,CYP2E1
C0001973,Alcoholism,FSHB
C0001973,Alcoholism,GABBR1
C0001973,Alcoholism,GABRA2
C0001973,Alcoholism,GABRG2
C0001973,Alcoholism,GATA4
C0001973,Alcoholism,GGT1
C0001973,Alcoholism,GHSR
C0001973,Alcoholism,GPHN
C0001973,Alcoholism,LHB
C0001973,Alcoholism,NPY
C0001973,Alcoholism,NPY2R
C0001973,Alcoholism,OPRM1
C0001973,Alcoholism,PDE4B
C0001973,Alcoholism,PDYN
C0001973,Alcoholism,SHBG
C0001973,Alcoholism,SLC6A3
C0001973,Alcoholism,SLC6A4
C0001973,Alcoholism,SNCA
C0001973,Alcoholism,TACR1
C0001973,Alcoholism,TACR3
C0001973,Alcoholism,TAS2R16
C0001973,Alcoholism,TAS2R38
C0001973,Alcoholism,TBX19
C0001973,Alcoholism,TF
C0002063,Alkalosis,AGT
C0002170,Alopecia,ABCC2
C0002170,Alopecia,AR
C0002170,Alopecia,BRD4
C0002170,Alopecia,CRH
C0002170,Alopecia,HR
C0002170,Alopecia,MTHFR
C0002170,Alopecia,PARP1
C0002170,Alopecia,PRKAR1A
C0002170,Alopecia,RHOA
C0002170,Alopecia,SRD5A2
C0002170,Alopecia,SUPV3L1
C0002170,Alopecia,TNFRSF10A
C0002170,Alopecia,VDR
C0002170,Alopecia,ZDHHC13
C0002170,Alopecia,ZFP36
C0002622,Amnesia,APP
C0002622,Amnesia,AVP
C0002622,Amnesia,CSF2
C0002622,Amnesia,GNAI1
C0002622,Amnesia,GNAI3
C0002622,Amnesia,GRP
C0002622,Amnesia,HRH3
C0002622,Amnesia,IL1A
C0002622,Amnesia,IL2
C0002622,Amnesia,IL6
C0002622,Amnesia,NGF
C0002622,Amnesia,PDYN
C0002622,Amnesia,POMC
C0002622,Amnesia,PREP
C0002622,Amnesia,SIGMAR1
C0002622,Amnesia,TAC1
C0002622,Amnesia,TRH
C0002726,Amyloidosis,ACHE
C0002726,Amyloidosis,APOE
C0002726,Amyloidosis,APP
C0002726,Amyloidosis,PSEN1
C0002726,Amyloidosis,TTR
C0002726,Amyloidosis,ZDHHC13
C0002902,Anencephaly,THAS
C0002902,Anencephaly,TRIM36
C0002940,Aneurysm,IL6
C0002940,Aneurysm,MMP1
C0002962,Angina pectoris,AVP
C0002962,Angina pectoris,PLAU
C0002965,Angina unstable,CXCL8
C0002965,Angina unstable,PAPPA
C0002965,Angina unstable,PLAU
C0002994,Angioedema,ALB
C0002994,Angioedema,HLA-DPB1
C0002994,Angioedema,HLA-DQB1
C0002994,Angioedema,HLA-DRB1
C0002994,Angioedema,PLAT
C0002994,Angioedema,XPNPEP2
C0003431,Antisocial personality disorder,MAOA
C0003460,Anuria,AGT
C0003460,Anuria,ALB
C0003460,Anuria,PLAU
C0003486,Aortic aneurysm,AGT
C0003486,Aortic aneurysm,MMP9
C0003486,Aortic aneurysm,SKI
C0003486,Aortic aneurysm,SMAD3
C0003486,Aortic aneurysm,TGFBR2
C0003537,Aphasia,L1CAM
C0003537,Aphasia,PLAT
C0003615,Appendicitis,IFNG
C0003615,Appendicitis,IL10
C0003850,Arteriosclerosis,APOE
C0003850,Arteriosclerosis,GATA2
C0003850,Arteriosclerosis,GSTA4
