DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Dermatitis,dermatitis,C0011603,Dermatitis,A,MESH:D003872,marker/mechanism,32937126
Diabetes Mellitus,diabetes mellitus,C0011849,Diabetes mellitus,A,MESH:D003920,marker/mechanism,1473152|25620042
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,A,MESH:D003924,marker/mechanism,8146154
Diabetic Nephropathies,diabetic nephropathies,,,A,MESH:D003928,marker/mechanism,37769864
Edema,edema,,,A,MESH:D004487,marker/mechanism,32937126
Failure to Thrive,failure to thrive,C0015544,Failure to thrive,A,MESH:D005183,marker/mechanism,32937126
Fibrosis,fibrosis,C0016059,Fibrosis,A,MESH:D005355,marker/mechanism,37769864
Furunculosis,furunculosis,,,A,MESH:D005667,marker/mechanism,32937126
Glucose Intolerance,glucose intolerance,,,A,MESH:D018149,marker/mechanism,25620042
Hepatic Veno-Occlusive Disease,hepatic veno occlusive disease,,,A,MESH:D006504,marker/mechanism,32937126
Hyperglycemia,hyperglycemia,,,A,MESH:D006943,marker/mechanism,25620042|36977210|37769864
Hyperlipidemias,hyperlipidemias,,,A,MESH:D006949,marker/mechanism,25620042
Hyperplasia,hyperplasia,C0020507,Hyperplasia,A,MESH:D006965,marker/mechanism,32937126
Keratosis,keratosis,,,A,MESH:D007642,marker/mechanism,32937126
Liver Neoplasms,liver neoplasms,,,A,MESH:D008113,marker/mechanism,15175105
Neoplasms,neoplasms,,,A,MESH:D009369,marker/mechanism,1473152
Obesity,obesity,C0028754,Obesity,A,MESH:D009765,marker/mechanism,1473152|25447408|25448685|32937126|8146154
Pigmentation Disorders,pigmentation disorders,,,A,MESH:D010859,marker/mechanism,32937126|8146154
Prenatal Exposure Delayed Effects,prenatal exposure delayed effects,,,A,MESH:D011297,marker/mechanism,32937126
Weight Gain,weight gain,,,A,MESH:D015430,marker/mechanism,37769864
Hepatomegaly,hepatomegaly,C0019209,Hepatomegaly,A1BG,MESH:D006529,marker/mechanism,28108177
Schizophrenia,schizophrenia,C0036341,Schizophrenia,A1BG,MESH:D012559,marker/mechanism,25821032
Acute Kidney Injury,acute kidney injury,,,A2M,MESH:D058186,marker/mechanism,23052191
"Adenoma, Liver Cell",adenoma liver cell,,,A2M,MESH:D018248,marker/mechanism,15509519
Alzheimer Disease,alzheimer disease,,,A2M,MESH:D000544,marker/mechanism,15023809|9697696|9811940
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,A2M,MESH:D006528,marker/mechanism,15509519
Colonic Neoplasms,colonic neoplasms,,,A2M,MESH:D003110,marker/mechanism,15059925
Hepatolenticular Degeneration,hepatolenticular degeneration,,,A2M,MESH:D006527,marker/mechanism,23519153
Liver Cirrhosis,liver cirrhosis,,,A2M,MESH:D008103,marker/mechanism,26396155
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,A2M,MESH:D008106,marker/mechanism,25380136
Lung Diseases,lung diseases,,,A2M,MESH:D008171,marker/mechanism,2475424
Lung Neoplasms,lung neoplasms,,,A2M,MESH:D008175,marker/mechanism,17902193|19180532
