DiseaseName_raw,DiseaseName_norm
17-Hydroxysteroid Dehydrogenase Deficiency,17 hydroxysteroid dehydrogenase deficiency
18-Hydroxylase deficiency,18 hydroxylase deficiency
"2,4-Dienoyl-CoA Reductase Deficiency",2 4 dienoyl coa reductase deficiency
2-Hydroxyglutaricaciduria,2 hydroxyglutaricaciduria
2-Methylbutyryl-CoA Dehydrogenase Deficiency,2 methylbutyryl coa dehydrogenase deficiency
22q11 Deletion Syndrome,22q11 deletion syndrome
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,3 hydroxy 3 methylglutaryl coa lyase deficiency
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,3 hydroxy 3 methylglutaryl coa synthase 2 deficiency
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,3 hydroxyacyl coa dehydrogenase deficiency
3-methylcrotonyl CoA carboxylase 1 deficiency,3 methylcrotonyl coa carboxylase 1 deficiency
3-methylcrotonyl CoA carboxylase 2 deficiency,3 methylcrotonyl coa carboxylase 2 deficiency
"3-Methylglutaconic Aciduria, Type I",3 methylglutaconic aciduria type i
"3-Methylglutaconic Aciduria, Type V",3 methylglutaconic aciduria type v
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIIB",3 methylglutaconic aciduria type viib
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",3 methylglutaconic aciduria type viii
"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME",3 methylglutaconic aciduria with deafness encephalopathy and leigh like syndrome
3C syndrome,3c syndrome
"46, XX Disorders of Sex Development",46 xx disorders of sex development
"46,XX SEX REVERSAL 1",46 xx sex reversal 1
"46,XX SEX REVERSAL 2",46 xx sex reversal 2
"46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS",46 xx sex reversal with dysgenesis of kidneys adrenals and lungs
"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",46 xy gonadal dysgenesis complete or partial dhh related
"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy",46 xy gonadal dysgenesis partial with minifascicular neuropathy
"46,XY SEX REVERSAL 1",46 xy sex reversal 1
"46,XY SEX REVERSAL 10",46 xy sex reversal 10
"46, XY Sex Reversal 5",46 xy sex reversal 5
"46,XY SEX REVERSAL 6",46 xy sex reversal 6
"46,XY SEX REVERSAL 9",46 xy sex reversal 9
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR,5 hydroxytryptamine oxygenase regulator
5-oxoprolinase deficiency,5 oxoprolinase deficiency
6-pyruvoyl-tetrahydropterin synthase deficiency,6 pyruvoyl tetrahydropterin synthase deficiency
Aarskog Syndrome,aarskog syndrome
ABCD syndrome,abcd syndrome
Abdominal obesity metabolic syndrome,abdominal obesity metabolic syndrome
ABDOMINAL OBESITY-METABOLIC SYNDROME 3,abdominal obesity metabolic syndrome 3
Aberrant Crypt Foci,aberrant crypt foci
Abetalipoproteinemia,abetalipoproteinemia
Ablepharon macrostomia syndrome,ablepharon macrostomia syndrome
"Abnormalities, Drug-Induced",abnormalities drug induced
"Abnormalities, Multiple",abnormalities multiple
"Abortion, Habitual",abortion habitual
"Abortion, Threatened",abortion threatened
Abruptio Placentae,abruptio placentae
Abruzzo Erickson syndrome,abruzzo erickson syndrome
Absence of tibia with polydactyly,absence of tibia with polydactyly
Absent corpus callosum cataract immunodeficiency,absent corpus callosum cataract immunodeficiency
Absent radii and thrombocytopenia,absent radii and thrombocytopenia
Acatalasia,acatalasia
Acetyl-Coa Carboxylase Deficiency,acetyl coa carboxylase deficiency
Achalasia Addisonianism Alacrimia syndrome,achalasia addisonianism alacrimia syndrome
Acheiropodia,acheiropodia
Achondrogenesis type 1A,achondrogenesis type 1a
Achondrogenesis type 1B,achondrogenesis type 1b
Achondrogenesis type 2,achondrogenesis type 2
Achondroplasia,achondroplasia
Achromatopsia 2,achromatopsia 2
Achromatopsia 3,achromatopsia 3
Achromatopsia 4,achromatopsia 4
ACHROMATOPSIA 7,achromatopsia 7
ACID-LABILE SUBUNIT DEFICIENCY,acid labile subunit deficiency
Acid Phosphatase Deficiency,acid phosphatase deficiency
"Acidemia, isovaleric",acidemia isovaleric
"Acidosis, Lactic",acidosis lactic
"Acidosis, Renal Tubular",acidosis renal tubular
Acne Vulgaris,acne vulgaris
Acquired angioedema,acquired angioedema
Acquired Hyperostosis Syndrome,acquired hyperostosis syndrome
Acro-Osteolysis,acro osteolysis
Acrocallosal Syndrome,acrocallosal syndrome
Acrocapitofemoral Dysplasia,acrocapitofemoral dysplasia
Acrocephalopolysyndactyly Type II,acrocephalopolysyndactyly type ii
Acrocephalosyndactylia,acrocephalosyndactylia
Acrodermatitis,acrodermatitis
Acrodermatitis enteropathica,acrodermatitis enteropathica
Acrodysostosis,acrodysostosis
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE",acrofacial dysostosis cincinnati type
"Acrofacial dysostosis, Nager type",acrofacial dysostosis nager type
Acromelic Frontonasal Dysostosis,acromelic frontonasal dysostosis
ACROMESOMELIC DYSPLASIA 2C,acromesomelic dysplasia 2c
"Acromesomelic dysplasia, Maroteaux type",acromesomelic dysplasia maroteaux type
Acromicric dysplasia,acromicric dysplasia
"ACTH Deficiency, Isolated",acth deficiency isolated
Acth-Independent Macronodular Adrenal Hyperplasia,acth independent macronodular adrenal hyperplasia
ACTH-Secreting Pituitary Adenoma,acth secreting pituitary adenoma
"ACTH Syndrome, Ectopic",acth syndrome ectopic
Activated Protein C Resistance,activated protein c resistance
Acute erythroleukemia,acute erythroleukemia
Acute Kidney Injury,acute kidney injury
Acute Lung Injury,acute lung injury
"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",acyl coa dehydrogenase family member 9 deficiency of
Adams Oliver syndrome,adams oliver syndrome
Addison Disease,addison disease
Adducted Thumbs Syndrome,adducted thumbs syndrome
Adenine phosphoribosyltransferase deficiency,adenine phosphoribosyltransferase deficiency
"Adenocarcinoma, Bronchiolo-Alveolar",adenocarcinoma bronchiolo alveolar
"Adenocarcinoma, Clear Cell",adenocarcinoma clear cell
"Adenocarcinoma, Follicular",adenocarcinoma follicular
"Adenocarcinoma, Mucinous",adenocarcinoma mucinous
Adenocarcinoma Of Esophagus,adenocarcinoma of esophagus
Adenocarcinoma of Lung,adenocarcinoma of lung
Adenoma,adenoma
"Adenoma, Liver Cell",adenoma liver cell
"Adenoma, Oxyphilic",adenoma oxyphilic
Adenomatous Polyposis Coli,adenomatous polyposis coli
Adenomatous Polyps,adenomatous polyps
Adenosine monophosphate deaminase deficiency,adenosine monophosphate deaminase deficiency
"Adenosine Triphosphate, Elevated, Of Erythrocytes",adenosine triphosphate elevated of erythrocytes
"Adenylate Kinase Deficiency, Hemolytic Anemia Due To",adenylate kinase deficiency hemolytic anemia due to
Adenylosuccinate lyase deficiency,adenylosuccinate lyase deficiency
