adr_idx,adr_id,adr_name
0,C0000727,Acute abdomen
1,C0000731,Abdominal distension
2,C0000768,Congenital anomaly
3,C0000786,Abortion spontaneous
4,C0000833,Abscess
5,C0000889,Acanthosis nigricans
6,C0001122,Acidosis
7,C0001125,Lactic acidosis
8,C0001126,Renal tubular acidosis
9,C0001127,Respiratory acidosis
10,C0001206,Acromegaly
11,C0001231,Ectopic ACTH syndrome
12,C0001339,Pancreatitis acute
13,C0001361,Acute tonsillitis
14,C0001418,Adenocarcinoma
15,C0001511,Adhesion
16,C0001807,Aggression
17,C0001925,Albuminuria
18,C0001957,Delirium tremens
19,C0001973,Alcoholism
20,C0002063,Alkalosis
21,C0002170,Alopecia
22,C0002390,Alveolitis allergic
23,C0002418,Amblyopia
24,C0002622,Amnesia
25,C0002726,Amyloidosis
26,C0002902,Anencephaly
27,C0002940,Aneurysm
28,C0002962,Angina pectoris
29,C0002963,Prinzmetal angina
30,C0002994,Angioedema
31,C0003079,Pupils unequal
32,C0003431,Antisocial personality disorder
33,C0003467,Anxiety
34,C0003469,Anxiety disorder
35,C0003486,Aortic aneurysm
36,C0003537,Aphasia
37,C0003564,Aphonia
38,C0003578,Apnoea
39,C0003621,Appetite disorder
40,C0003811,Arrhythmia
41,C0003850,Arteriosclerosis
42,C0003864,Arthritis
43,C0003868,Gouty arthritis
44,C0003873,Rheumatoid arthritis
45,C0004044,Asphyxia
46,C0004093,Asthenia
47,C0004096,Asthma
48,C0004114,Astrocytoma
49,C0004134,Ataxia
50,C0004144,Atelectasis
51,C0004158,Athetosis
52,C0004238,Atrial fibrillation
53,C0004245,Atrioventricular block
54,C0004331,Atrioventricular dissociation
55,C0004364,Autoimmune disorder
56,C0004509,Azoospermia
57,C0004604,Back pain
58,C0004767,Bartholin's cyst
59,C0004936,Mental disorder
60,C0005586,Bipolar disorder
61,C0005684,Bladder cancer
62,C0005741,Blepharitis
63,C0005747,Blepharospasm
64,C0005779,Coagulopathy
65,C0006079,Bowen's disease
66,C0006112,Metabolic encephalopathy
67,C0006142,Breast cancer
68,C0006144,Breast cyst
69,C0006145,Breast disorder
70,C0006147,Breast feeding
71,C0006152,Breast swelling
72,C0006277,Bronchitis
73,C0006285,Bronchopneumonia
74,C0006444,Bursitis
75,C0006625,Cachexia
76,C0006663,Calcinosis
77,C0006846,Skin candida
78,C0006848,Mucocutaneous candidiasis
