adr_idx,adr_id,adr_name
0,C0000727,Acute abdomen
1,C0000731,Abdominal distension
2,C0000737,Abdominal pain
3,C0000768,Congenital anomaly
4,C0000786,Abortion spontaneous
5,C0000814,Abortion missed
6,C0000832,Premature separation of placenta
7,C0000833,Abscess
8,C0000889,Acanthosis nigricans
9,C0001122,Acidosis
10,C0001125,Lactic acidosis
11,C0001126,Renal tubular acidosis
12,C0001127,Respiratory acidosis
13,C0001175,Acquired immunodeficiency syndrome
14,C0001198,Acrodynia
15,C0001206,Acromegaly
16,C0001231,Ectopic ACTH syndrome
17,C0001339,Pancreatitis acute
18,C0001349,Acute phase reaction
19,C0001361,Acute tonsillitis
20,C0001364,Acute yellow liver atrophy
21,C0001396,Adams-Stokes syndrome
22,C0001403,Addison's disease
23,C0001418,Adenocarcinoma
24,C0001430,Adenoma benign
25,C0001486,Adenovirus infection
26,C0001511,Adhesion
27,C0001546,Adjustment disorder
28,C0001621,Adrenal disorder
29,C0001622,Hyperadrenocorticism
30,C0001623,Adrenal insufficiency
31,C0001807,Aggression
32,C0001818,Agoraphobia
33,C0001824,Agranulocytosis
34,C0001916,Albinism
35,C0001925,Albuminuria
36,C0001957,Delirium tremens
37,C0001973,Alcoholism
38,C0002063,Alkalosis
39,C0002064,Respiratory alkalosis
40,C0002170,Alopecia
41,C0002390,Alveolitis allergic
42,C0002395,Dementia Alzheimer's type
43,C0002418,Amblyopia
44,C0002453,Amenorrhoea
45,C0002622,Amnesia
46,C0002624,Retrograde amnesia
47,C0002726,Amyloidosis
48,C0002792,Anaphylactic shock
49,C0002871,Anaemia
50,C0002874,Aplastic anaemia
51,C0002878,Haemolytic anaemia
52,C0002880,Autoimmune haemolytic anaemia
53,C0002884,Hypochromic anaemia
54,C0002886,Anaemia macrocytic
55,C0002888,Anaemia megaloblastic
56,C0002894,Refractory anaemia with an excess of blasts
57,C0002895,Sickle cell anaemia
58,C0002896,Sideroblastic anaemia
59,C0002902,Anencephaly
60,C0002928,Spinal anaesthesia
61,C0002940,Aneurysm
62,C0002949,Artery dissection
63,C0002957,Anger
64,C0002962,Angina pectoris
65,C0002963,Prinzmetal angina
66,C0002965,Angina unstable
67,C0002994,Angioedema
68,C0003028,Anhidrosis
69,C0003079,Pupils unequal
70,C0003126,Anosmia
71,C0003130,Anoxia
72,C0003175,Anthrax
73,C0003431,Antisocial personality disorder
