drug_idx,pert_id
0,BRD-A00827783
1,BRD-A01320529
2,BRD-A01346607
3,BRD-A01643550
4,BRD-A02180903
5,BRD-A03427350
6,BRD-A04553218
7,BRD-A05186015
8,BRD-A05352148
9,BRD-A07029265
10,BRD-A07765530
11,BRD-A07780951
12,BRD-A07893380
13,BRD-A08062015
14,BRD-A08200164
15,BRD-A08660406
16,BRD-A09073503
17,BRD-A09349126
18,BRD-A09467419
19,BRD-A09472452
20,BRD-A10188456
21,BRD-A11263757
22,BRD-A12016240
23,BRD-A12832192
24,BRD-A13084692
25,BRD-A13133631
26,BRD-A13188892
27,BRD-A13650332
28,BRD-A13946108
29,BRD-A14792000
30,BRD-A16444946
31,BRD-A16478930
32,BRD-A16665823
33,BRD-A16700644
34,BRD-A16746338
35,BRD-A16754160
36,BRD-A16934955
37,BRD-A17448384
38,BRD-A17883755
39,BRD-A18620900
40,BRD-A18929998
41,BRD-A19195498
42,BRD-A19633847
43,BRD-A20126139
44,BRD-A20243730
45,BRD-A20958854
46,BRD-A21490874
47,BRD-A22143024
48,BRD-A22256192
49,BRD-A22740840
50,BRD-A22844106
51,BRD-A23034328
52,BRD-A23290232
53,BRD-A23637604
54,BRD-A23723433
55,BRD-A23770159
56,BRD-A25067867
57,BRD-A25143711
58,BRD-A25576662
59,BRD-A26095496
60,BRD-A26384407
61,BRD-A27887842
62,BRD-A28095882
63,BRD-A28746609
64,BRD-A28856712
65,BRD-A30717181
66,BRD-A30977374
67,BRD-A31158127
68,BRD-A31374339
69,BRD-A31836915
70,BRD-A34299591
71,BRD-A34462049
72,BRD-A34817987
73,BRD-A35108200
74,BRD-A35258977
75,BRD-A35588707
76,BRD-A35869383
77,BRD-A35989968
78,BRD-A36010170
79,BRD-A37432947
80,BRD-A37444045
81,BRD-A37780065
82,BRD-A38161572
83,BRD-A38749782
84,BRD-A39290993
85,BRD-A39415247
86,BRD-A39969961
87,BRD-A41020680
88,BRD-A41519720
89,BRD-A43974499
90,BRD-A44780397
91,BRD-A45664787
92,BRD-A46179541
93,BRD-A46186775
94,BRD-A47494775
95,BRD-A48237631
96,BRD-A48261811
97,BRD-A49447682
98,BRD-A49765801
99,BRD-A50287119
100,BRD-A50310035
101,BRD-A50311610
102,BRD-A51294525
103,BRD-A51382177
104,BRD-A52530684
105,BRD-A53576514
106,BRD-A53952395
107,BRD-A54487287
108,BRD-A54596827
109,BRD-A55393291
110,BRD-A56470328
111,BRD-A56892734
112,BRD-A57382968
113,BRD-A58753560
114,BRD-A59943784
115,BRD-A59985574
116,BRD-A60052764
117,BRD-A60197193
118,BRD-A60217728
119,BRD-A60274948
120,BRD-A60571864
121,BRD-A61154809
122,BRD-A61793559
123,BRD-A62025033
124,BRD-A62421304
125,BRD-A62428732
126,BRD-A62434282
127,BRD-A62525898
128,BRD-A63043573
129,BRD-A63667919
130,BRD-A63894585
131,BRD-A63934767
132,BRD-A65280694
133,BRD-A65282128
134,BRD-A65449987
135,BRD-A65767837
136,BRD-A65818372
137,BRD-A66229260
138,BRD-A66563878
139,BRD-A67479912
140,BRD-A67605442
141,BRD-A67799922
142,BRD-A67981824
143,BRD-A69512159
144,BRD-A69636825
145,BRD-A69951442
146,BRD-A69960130
147,BRD-A70150975
148,BRD-A70155556
149,BRD-A70514680
150,BRD-A70649075
151,BRD-A71390734
152,BRD-A72075775
153,BRD-A72130500
154,BRD-A73368467
155,BRD-A73581086
156,BRD-A73635141
157,BRD-A73741725
158,BRD-A74269027
159,BRD-A74980173
160,BRD-A75144621
161,BRD-A75172220
162,BRD-A75368507
163,BRD-A75479906
164,BRD-A75850590
165,BRD-A75919782
166,BRD-A75935363
167,BRD-A76229785
168,BRD-A76941896
169,BRD-A77291778
170,BRD-A77722753
171,BRD-A77824596
172,BRD-A79226577
173,BRD-A79465854
174,BRD-A79479878
175,BRD-A79768653
176,BRD-A79803969
177,BRD-A79981887
178,BRD-A80017228
179,BRD-A80151636
180,BRD-A80638690
181,BRD-A81233518
182,BRD-A82238138
183,BRD-A83081521
184,BRD-A83859836
185,BRD-A83892713
186,BRD-A84134924
187,BRD-A84174393
188,BRD-A84205515
189,BRD-A84282119
190,BRD-A84327315
191,BRD-A84493640
192,BRD-A84702196
193,BRD-A87387433
194,BRD-A87606379
195,BRD-A88774919
196,BRD-A88939772
197,BRD-A90131694
198,BRD-A90515964
199,BRD-A92177080
200,BRD-A92537424
201,BRD-A92651262
202,BRD-A93291428
203,BRD-A93424738
204,BRD-A94494639
205,BRD-A94709349
206,BRD-A94756469
207,BRD-A95602221
208,BRD-A95939040
209,BRD-A96255180
210,BRD-A97454584
211,BRD-A97674275
212,BRD-A98725278
213,BRD-A99314711
214,BRD-A99833829
215,BRD-A99939097
216,BRD-K00198051
217,BRD-K00532621
218,BRD-K00603606
219,BRD-K00673382
220,BRD-K00824317
221,BRD-K00835182
222,BRD-K01095011
223,BRD-K01292756
224,BRD-K01507359
225,BRD-K01612348
226,BRD-K02265150
227,BRD-K02404261
228,BRD-K02637541
229,BRD-K02992638
230,BRD-K03012696
231,BRD-K03243820
232,BRD-K03319035
233,BRD-K03406345
234,BRD-K04196797
235,BRD-K04210847
236,BRD-K04804440
237,BRD-K04993501
238,BRD-K05510762
239,BRD-K05658747
240,BRD-K05673000
241,BRD-K05926469
242,BRD-K05977355
243,BRD-K06335600
244,BRD-K06557128
245,BRD-K06878038
246,BRD-K06902185
247,BRD-K07208025
248,BRD-K07237224
249,BRD-K07612980
250,BRD-K08206212
251,BRD-K08252256
252,BRD-K08327065
253,BRD-K08547377
254,BRD-K08681769
255,BRD-K08845546
256,BRD-K08924299
257,BRD-K09416995
258,BRD-K09631521
259,BRD-K09951645
260,BRD-K09963420
261,BRD-K10467831
262,BRD-K10670311
263,BRD-K10799896
264,BRD-K10852020
265,BRD-K10860596
266,BRD-K10916986
267,BRD-K10961822
268,BRD-K10995081
269,BRD-K11129031
270,BRD-K11196887
271,BRD-K11433652
272,BRD-K11469942
273,BRD-K11905747
274,BRD-K12002134
275,BRD-K12219985
276,BRD-K12343256
277,BRD-K12437696
278,BRD-K12994359
279,BRD-K13027675
280,BRD-K13032584
281,BRD-K13044802
282,BRD-K13078532
283,BRD-K13183738
284,BRD-K13240564
285,BRD-K13296708
286,BRD-K13356952
287,BRD-K13514097
288,BRD-K13688115
289,BRD-K13800121
290,BRD-K13926615
291,BRD-K13927029
292,BRD-K14036801
293,BRD-K14204120
294,BRD-K14349461
295,BRD-K14550461
296,BRD-K14791739
297,BRD-K14888893
298,BRD-K15010214
299,BRD-K15108141
300,BRD-K15262564
301,BRD-K15502390
302,BRD-K15567136
303,BRD-K15891719
304,BRD-K15916496
305,BRD-K15933101
306,BRD-K16336526
307,BRD-K16508793
308,BRD-K16606819
309,BRD-K17016787
310,BRD-K17041687
311,BRD-K17113870
312,BRD-K17561142
313,BRD-K17674993
314,BRD-K17743125
315,BRD-K18574842
316,BRD-K18618618
317,BRD-K18674849
318,BRD-K18895904
319,BRD-K18922609
320,BRD-K19352500
321,BRD-K19416115
322,BRD-K19507340
323,BRD-K19687926
324,BRD-K20168442
325,BRD-K20338176
326,BRD-K21283037
327,BRD-K21317336
328,BRD-K21401044
329,BRD-K21520694
330,BRD-K21680192
331,BRD-K21733600
332,BRD-K21806131
333,BRD-K22031190
334,BRD-K22429181
335,BRD-K22662435
336,BRD-K23204545
337,BRD-K23478508
338,BRD-K23566484
339,BRD-K23714869
340,BRD-K23984367
341,BRD-K24023109
342,BRD-K24053527
343,BRD-K24559712
344,BRD-K24616672
345,BRD-K24844714
346,BRD-K25394294
347,BRD-K25433859
348,BRD-K26521938
349,BRD-K26657438
350,BRD-K27218697
351,BRD-K27316855
352,BRD-K28029915
353,BRD-K28143534
354,BRD-K28307902
355,BRD-K28346421
356,BRD-K28494619
357,BRD-K28542495
358,BRD-K28667793
359,BRD-K28761384
360,BRD-K28849549
361,BRD-K28936863
362,BRD-K29458283
363,BRD-K29530284
364,BRD-K29582115
365,BRD-K29653726
366,BRD-K30020243
367,BRD-K30097969
368,BRD-K30114692
369,BRD-K30207000
370,BRD-K30240666
371,BRD-K30480208
372,BRD-K30618791
373,BRD-K30649484
374,BRD-K30682080
375,BRD-K30697463
376,BRD-K30816563
377,BRD-K31333309
378,BRD-K31374463
379,BRD-K31534764
380,BRD-K31616564
381,BRD-K31627533
382,BRD-K32107296
383,BRD-K32164935
384,BRD-K32247306
385,BRD-K32273377
386,BRD-K32318651
387,BRD-K32398298
388,BRD-K32480324
389,BRD-K32744045
390,BRD-K32793530
391,BRD-K32814891
392,BRD-K32821942
393,BRD-K32830106
394,BRD-K33106058
395,BRD-K33127281
396,BRD-K33211335
397,BRD-K33226500
398,BRD-K33240821
399,BRD-K33425534
400,BRD-K33453211
401,BRD-K33811357
402,BRD-K34157611
403,BRD-K34411947
404,BRD-K34415467
405,BRD-K34685430
406,BRD-K34776109
407,BRD-K34817515
408,BRD-K35189033
409,BRD-K35240538
410,BRD-K35520305
411,BRD-K35559145
412,BRD-K35941380
413,BRD-K36616567
414,BRD-K36862742
415,BRD-K36927236
416,BRD-K37130586
417,BRD-K37187815
418,BRD-K37270826
419,BRD-K37289225
420,BRD-K37694030
421,BRD-K37949327
422,BRD-K38197229
423,BRD-K38305202
424,BRD-K38436528
425,BRD-K38775274
426,BRD-K39188321
