drug_idx,pert_id
0,BRD-A00827783
1,BRD-A01320529
2,BRD-A01346607
3,BRD-A01643550
4,BRD-A02180903
5,BRD-A03427350
6,BRD-A04553218
7,BRD-A05186015
8,BRD-A05352148
9,BRD-A07029265
10,BRD-A07765530
11,BRD-A07780951
12,BRD-A07893380
13,BRD-A09349126
14,BRD-A09467419
15,BRD-A09472452
16,BRD-A10188456
17,BRD-A12016240
18,BRD-A13084692
19,BRD-A13133631
20,BRD-A13188892
21,BRD-A13650332
22,BRD-A13946108
23,BRD-A14792000
24,BRD-A16444946
25,BRD-A16478930
26,BRD-A16665823
27,BRD-A16700644
28,BRD-A16754160
29,BRD-A16934955
30,BRD-A17448384
31,BRD-A17883755
32,BRD-A18620900
33,BRD-A19195498
34,BRD-A19633847
35,BRD-A20126139
36,BRD-A20243730
37,BRD-A22143024
38,BRD-A22256192
39,BRD-A22740840
40,BRD-A22844106
41,BRD-A23034328
42,BRD-A23290232
43,BRD-A23637604
44,BRD-A23723433
45,BRD-A23770159
46,BRD-A25067867
47,BRD-A25143711
48,BRD-A25576662
49,BRD-A26095496
50,BRD-A26384407
51,BRD-A27887842
52,BRD-A28746609
53,BRD-A28856712
54,BRD-A30717181
55,BRD-A30977374
56,BRD-A31374339
57,BRD-A31836915
58,BRD-A34299591
59,BRD-A34817987
60,BRD-A35108200
61,BRD-A35588707
62,BRD-A35989968
63,BRD-A36010170
64,BRD-A37432947
65,BRD-A37444045
66,BRD-A37780065
67,BRD-A38161572
68,BRD-A38749782
69,BRD-A39290993
70,BRD-A39415247
71,BRD-A39969961
72,BRD-A41020680
73,BRD-A41519720
74,BRD-A43974499
75,BRD-A44780397
76,BRD-A46179541
77,BRD-A46186775
78,BRD-A47494775
79,BRD-A48237631
80,BRD-A48261811
81,BRD-A49447682
82,BRD-A49765801
83,BRD-A50311610
84,BRD-A51382177
85,BRD-A52530684
86,BRD-A53576514
87,BRD-A53952395
88,BRD-A54487287
89,BRD-A54596827
90,BRD-A55393291
91,BRD-A56470328
92,BRD-A56892734
93,BRD-A57382968
94,BRD-A58753560
95,BRD-A59943784
96,BRD-A60197193
97,BRD-A60217728
98,BRD-A60274948
99,BRD-A60571864
100,BRD-A61154809
101,BRD-A61793559
102,BRD-A62025033
103,BRD-A62421304
104,BRD-A62428732
105,BRD-A62434282
106,BRD-A62525898
107,BRD-A63043573
108,BRD-A63667919
109,BRD-A63894585
110,BRD-A63934767
111,BRD-A65280694
112,BRD-A65282128
113,BRD-A65449987
114,BRD-A65767837
115,BRD-A66563878
116,BRD-A67479912
117,BRD-A67605442
118,BRD-A67799922
119,BRD-A69636825
120,BRD-A69951442
121,BRD-A69960130
122,BRD-A70155556
123,BRD-A70514680
124,BRD-A70649075
125,BRD-A71390734
126,BRD-A72130500
127,BRD-A73368467
128,BRD-A73581086
129,BRD-A73741725
130,BRD-A74269027
131,BRD-A75144621
132,BRD-A75172220
133,BRD-A75368507
134,BRD-A75479906
135,BRD-A75850590
136,BRD-A75919782
137,BRD-A75935363
138,BRD-A76941896
139,BRD-A77291778
140,BRD-A77722753
141,BRD-A77824596
142,BRD-A79226577
143,BRD-A79465854
144,BRD-A79479878
145,BRD-A79768653
146,BRD-A79803969
147,BRD-A79981887
148,BRD-A80017228
149,BRD-A80151636
150,BRD-A80638690
151,BRD-A81233518
152,BRD-A82238138
153,BRD-A83081521
154,BRD-A83859836
155,BRD-A83892713
156,BRD-A84134924
157,BRD-A84174393
158,BRD-A84205515
159,BRD-A84282119
160,BRD-A84327315
161,BRD-A84493640
162,BRD-A87387433
163,BRD-A87606379
164,BRD-A88774919
165,BRD-A90131694
166,BRD-A90515964
167,BRD-A92177080
168,BRD-A92537424
169,BRD-A92651262
170,BRD-A93424738
171,BRD-A94709349
172,BRD-A94756469
173,BRD-A95602221
174,BRD-A95939040
175,BRD-A97454584
176,BRD-A97674275
177,BRD-A98725278
178,BRD-A99833829
179,BRD-A99939097
180,BRD-K00532621
181,BRD-K00603606
182,BRD-K00673382
183,BRD-K00824317
184,BRD-K00835182
185,BRD-K01095011
186,BRD-K01292756
187,BRD-K01507359
188,BRD-K01612348
189,BRD-K02265150
190,BRD-K02404261
191,BRD-K02637541
192,BRD-K02992638
193,BRD-K03319035
194,BRD-K03406345
195,BRD-K04196797
196,BRD-K04210847
197,BRD-K04804440
198,BRD-K04993501
199,BRD-K05673000
200,BRD-K05977355
201,BRD-K06335600
202,BRD-K06557128
203,BRD-K06878038
204,BRD-K06902185
205,BRD-K07208025
206,BRD-K07237224
207,BRD-K08206212
208,BRD-K08252256
209,BRD-K08327065
210,BRD-K08547377
211,BRD-K08681769
212,BRD-K08845546
213,BRD-K08924299
214,BRD-K09416995
215,BRD-K09631521
216,BRD-K09963420
217,BRD-K10467831
218,BRD-K10670311
219,BRD-K10799896
220,BRD-K10852020
221,BRD-K10860596
222,BRD-K10916986
223,BRD-K10961822
224,BRD-K10995081
225,BRD-K11129031
226,BRD-K11433652
227,BRD-K11905747
228,BRD-K12002134
229,BRD-K12219985
230,BRD-K12994359
231,BRD-K13027675
232,BRD-K13032584
233,BRD-K13044802
234,BRD-K13183738
235,BRD-K13356952
236,BRD-K13514097
237,BRD-K13688115
238,BRD-K13800121
239,BRD-K13926615
240,BRD-K13927029
241,BRD-K14204120
242,BRD-K14349461
243,BRD-K14888893
244,BRD-K15010214
245,BRD-K15108141
246,BRD-K15262564
247,BRD-K15502390
248,BRD-K15567136
249,BRD-K15891719
250,BRD-K15916496
251,BRD-K15933101
252,BRD-K16336526
253,BRD-K16508793
254,BRD-K16606819
255,BRD-K17016787
256,BRD-K17041687
257,BRD-K17113870
258,BRD-K17561142
259,BRD-K17674993
260,BRD-K18574842
261,BRD-K18618618
262,BRD-K18674849
263,BRD-K18895904
264,BRD-K18922609
265,BRD-K19352500
266,BRD-K19507340
267,BRD-K19687926
268,BRD-K20168442
269,BRD-K20338176
270,BRD-K21283037
271,BRD-K21317336
272,BRD-K21520694
273,BRD-K21680192
274,BRD-K21733600
275,BRD-K21806131
276,BRD-K22031190
277,BRD-K22429181
278,BRD-K22662435
279,BRD-K23204545
280,BRD-K23478508
281,BRD-K23566484
282,BRD-K24023109
283,BRD-K24053527
284,BRD-K24844714
285,BRD-K25394294
286,BRD-K25433859
287,BRD-K26521938
288,BRD-K26657438
289,BRD-K27316855
290,BRD-K28029915
291,BRD-K28143534
292,BRD-K28307902
293,BRD-K28667793
294,BRD-K28761384
295,BRD-K28849549
296,BRD-K28936863
297,BRD-K29458283
298,BRD-K29530284
299,BRD-K29582115
300,BRD-K29653726
301,BRD-K30020243
302,BRD-K30097969
303,BRD-K30240666
304,BRD-K30480208
305,BRD-K30697463
306,BRD-K30816563
307,BRD-K31534764
308,BRD-K31616564
309,BRD-K31627533
310,BRD-K32107296
311,BRD-K32164935
312,BRD-K32247306
313,BRD-K32398298
314,BRD-K32480324
315,BRD-K32744045
316,BRD-K32821942
317,BRD-K32830106
318,BRD-K33106058
319,BRD-K33211335
320,BRD-K33226500
321,BRD-K33425534
322,BRD-K33453211
323,BRD-K34157611
324,BRD-K34411947
325,BRD-K34415467
326,BRD-K34685430
327,BRD-K34776109
328,BRD-K35189033
329,BRD-K35520305
330,BRD-K35559145
331,BRD-K35941380
332,BRD-K36616567
333,BRD-K36862742
334,BRD-K36927236
335,BRD-K37187815
336,BRD-K37270826
337,BRD-K37289225
338,BRD-K37694030
339,BRD-K38197229
340,BRD-K38305202
341,BRD-K38436528
342,BRD-K38775274
343,BRD-K39188321
344,BRD-K39397585
345,BRD-K39915878
346,BRD-K39983086
347,BRD-K39987650
348,BRD-K40476324
349,BRD-K41298358
350,BRD-K41410256
351,BRD-K41731458
352,BRD-K42098891
353,BRD-K42260897
354,BRD-K42348709
355,BRD-K42693031
356,BRD-K43736954
357,BRD-K43744935
358,BRD-K43860855
359,BRD-K43887077
360,BRD-K44094599
361,BRD-K44276885
362,BRD-K44353683
363,BRD-K44779798
364,BRD-K44876623
365,BRD-K45033733
366,BRD-K45071273
367,BRD-K45158365
368,BRD-K46018455
369,BRD-K46137903
370,BRD-K46212057
371,BRD-K46652470
372,BRD-K46742498
373,BRD-K46862739
374,BRD-K47036706
375,BRD-K47244735
376,BRD-K47278471
377,BRD-K47631482
378,BRD-K47635719
379,BRD-K47639036
380,BRD-K47679368
381,BRD-K47780086
382,BRD-K47869605
383,BRD-K47886988
384,BRD-K48168960
385,BRD-K48300629
386,BRD-K48367671
387,BRD-K48722833
388,BRD-K48970916
389,BRD-K49111258
390,BRD-K49404994
391,BRD-K49577446
392,BRD-K49668410
393,BRD-K50128260
394,BRD-K50388907
395,BRD-K50398167
396,BRD-K50590187
397,BRD-K50691590
398,BRD-K50866992
399,BRD-K50938287
400,BRD-K51095933
401,BRD-K51207550
402,BRD-K51350053
403,BRD-K51418664
404,BRD-K52020312
405,BRD-K52080565
406,BRD-K52172416
407,BRD-K52237148
408,BRD-K52459643
409,BRD-K52662033
410,BRD-K52735702
411,BRD-K52930707
412,BRD-K52989797
413,BRD-K53737926
414,BRD-K53790871
415,BRD-K53857191
416,BRD-K53987533
417,BRD-K54283240
418,BRD-K54314721
419,BRD-K54316499
420,BRD-K54416256
421,BRD-K54462405
422,BRD-K54472332
423,BRD-K54770957
424,BRD-K55044200
425,BRD-K55127134
426,BRD-K55301415
