gene_idx,GeneID,GeneSymbol
0,10007,GNPDA1
1,1001,CDH3
2,10013,HDAC6
3,10038,PARP2
4,10046,MAMLD1
5,10049,DNAJB6
6,10051,SMC4
7,10057,ABCC5
8,10058,ABCB6
9,10059,DNM1L
10,10099,TSPAN3
11,10112,KIF20A
12,10123,ARL4C
13,10131,TRAP1
14,10146,G3BP1
15,10150,MBNL2
16,10153,CEBPZ
17,10165,SLC25A13
18,1017,CDK2
19,10174,SORBS3
20,10180,RBM6
21,1019,CDK4
22,10190,TXNDC9
23,102,ADAM10
24,10206,TRIM13
25,1021,CDK6
26,1022,CDK7
27,10221,TRIB1
28,10227,MFSD10
29,10237,SLC35B1
30,10245,TIMM17B
31,1026,CDKN1A
32,1027,CDKN1B
33,10270,AKAP8
34,10273,STUB1
35,10276,NET1
36,10285,SMNDC1
37,1029,CDKN2A
38,10298,PAK4
39,10318,TNIP1
40,10320,IKZF1
41,10329,RXYLT1
42,10362,HMG20B
43,10398,MYL9
44,10434,LYPLA1
45,10450,PPIE
46,10451,VAV3
47,10489,LRRC41
48,10491,CRTAP
49,10493,VAT1
50,10494,STK25
51,1050,CEBPA
52,10513,APPBP2
53,1052,CEBPD
54,10523,CHERP
55,10525,HYOU1
56,10557,RPP38
57,10559,SLC35A1
58,10589,DRAP1
59,10606,PAICS
60,10610,ST6GALNAC2
61,10617,STAMBP
62,1062,CENPE
63,10641,NPRL2
64,10644,IGF2BP2
65,10652,YKT6
66,10668,CGRRF1
67,10670,RRAGA
68,10681,GNB5
69,10682,EBP
70,10695,CNPY3
71,1070,CETN3
72,10730,YME1L1
73,10732,TCFL5
74,10765,KDM5B
75,10775,POP4
76,10776,ARPP19
77,10782,ZNF274
78,10797,MTHFD2
79,10810,WASF3
80,10813,UTP14A
81,10818,FRS2
82,10845,CLPX
83,10857,PGRMC1
84,10892,MALT1
85,10898,CPSF4
86,10904,BLCAP
87,10915,TCERG1
88,10921,RNPS1
89,10953,TOMM34
90,10954,PDIA5
91,10962,MLLT11
92,10969,EBNA1BP2
93,10972,TMED10
94,10973,ASCC3
95,11000,SLC27A3
96,11004,KIF2C
97,11007,CCDC85B
98,11011,TLK2
99,11014,KDELR2
100,11031,RAB31
101,11041,B4GAT1
102,11044,TENT4A
103,11065,UBE2C
104,11072,DUSP14
105,11073,TOPBP1
106,11098,PRSS23
107,1111,CHEK1
108,11137,PWP1
109,11142,PKIG
110,11151,CORO1A
111,11157,LSM6
112,11168,PSIP1
113,11182,SLC2A6
114,11188,NISCH
115,11200,CHEK2
116,1123,CHN1
117,11230,PRAF2
118,11232,POLG2
119,11261,CHP1
120,11284,PNKP
121,11319,ECD
122,11325,DDX42
123,11344,TWF2
124,1153,CIRBP
125,116832,RPL39L
126,1212,CLTB
127,1213,CLTC
128,124583,CANT1
129,1277,COL1A1
130,128,ADH5
131,1282,COL4A1
132,1385,CREB1
133,1398,CRK
134,1399,CRKL
135,142,PARP1
136,1429,CRYZ
137,1445,CSK
138,1452,CSNK1A1
139,1454,CSNK1E
140,1459,CSNK2A2
141,1465,CSRP1
142,147179,WIPF2
143,148022,TICAM1
144,1500,CTNND1
145,1509,CTSD
146,1514,CTSL
147,1534,CYB561
148,154,ADRB2
149,16,AARS
150,1605,DAG1
151,1616,DAXX
152,1633,DCK
153,1635,DCTD
154,1643,DDB2
155,1647,GADD45A
156,1662,DDX10
157,1666,DECR1
158,1676,DFFA
159,1677,DFFB
160,1738,DLD
161,1759,DNM1
162,178,AGL
163,1786,DNMT1
164,1788,DNMT3A
165,1802,DPH2
166,1829,DSG2
167,1831,TSC22D3
168,1845,DUSP3
169,1846,DUSP4
170,1848,DUSP6
171,1861,TOR1A
172,1870,E2F2
173,1891,ECH1
174,1906,EDN1
175,1950,EGF
176,1956,EGFR
177,1958,EGR1
178,1978,EIF4EBP1
179,1981,EIF4G1
180,1983,EIF5
181,1994,ELAVL1
182,200081,TXLNA
183,200734,SPRED2
184,2017,CTTN
185,2037,EPB41L2
186,2042,EPHA3
187,2048,EPHB2
188,2058,EPRS
189,2063,NR2F6
190,2064,ERBB2
191,2065,ERBB3
192,207,AKT1
193,2109,ETFB
194,211,ALAS1
195,2113,ETS1
196,2115,ETV1
197,2131,EXT1
198,2146,EZH2
199,2184,FAH
200,2185,PTK2B
201,2195,FAT1
202,2222,FDFT1
203,226,ALDOA
204,2263,FGFR2
205,2264,FGFR4
206,2274,FHL2
207,22794,CASC3
208,22796,COG2
209,22809,ATF5
210,22823,MTF2
211,22827,PUF60
212,22841,RAB11FIP2
213,2288,FKBP4
214,22883,CLSTN1
215,22887,FOXJ3
216,22889,KHDC4
217,22905,EPN2
218,22908,SACM1L
219,22926,ATF6
220,22934,RPIA
221,23,ABCF1
222,230,ALDOC
223,23011,RAB21
224,23013,SPEN
225,23014,FBXO21
226,23029,RBM34
227,23038,WDTC1
228,23039,XPO7
229,23061,TBC1D9B
230,23076,RRP1B
231,23077,MYCBP2
232,2309,FOXO3
233,23097,CDK19
234,23131,GPATCH8
235,23139,MAST2
236,23142,DCUN1D4
237,23149,FCHO1
238,23161,SNX13
239,23200,ATP11B
240,23210,JMJD6
241,23212,RRS1
242,23223,RRP12
243,23224,SYNE2
244,23244,PDS5A
245,23271,CAMSAP2
246,23300,ATMIN
247,23321,TRIM2
248,23325,WASHC4
249,23326,USP22
250,23335,WDR7
251,23338,JADE2
252,23365,ARHGEF12
253,23368,PPP1R13B
254,23378,RRP8
255,23386,NUDCD3
256,23410,SIRT3
257,23443,SLC35A3
258,23463,ICMT
259,23499,MACF1
260,23512,SUZ12
261,23522,KAT6B
262,2353,FOS
263,23530,NNT
264,23536,ADAT1
265,2356,FPGS
266,23585,TMEM50A
267,23588,KLHDC2
268,23597,ACOT9
269,23635,SSBP2
270,23636,NUP62
271,23647,ARFIP2
272,23658,LSM5
273,23659,PLA2G15
274,23670,CEMIP2
275,24149,ZNF318
276,25,ABL1
277,2523,FUT1
278,2534,FYN
279,2542,SLC37A4
280,2548,GAA
281,2553,GABPB1
282,256364,EML3
283,25793,FBXO7
284,25803,SPDEF
285,25805,BAMBI
286,2582,GALE
287,25825,BACE2
288,25839,COG4
289,25874,MPC2
290,25932,CLIC4
291,25966,C2CD2
292,2597,GAPDH
293,25976,TIPARP
294,25987,TSKU
295,26001,RNF167
296,26020,LRP10
297,26036,ZNF451
298,26054,SENP6
299,26064,RAI14
300,26128,KIF1BP
301,26136,TES
302,26227,PHGDH
303,2624,GATA2
304,2625,GATA3
305,26292,MYCBP
306,26511,CHIC2
307,26520,TIMM9
308,2673,GFPT1
309,2690,GHR
310,26993,AKAP8L
